label,calories,protein,carbohydrates,fats,fiber,sugars,sodium
apple_pie,360,4,54,14,3,24,180
baby_back_ribs,900,63,25,55,2,20,1200
baklava,330,6,40,16,2,25,120
beef_carpaccio,400,40,3,24,0,0,600
beef_tartare,625,63,5,38,0,4,1000
beet_salad,160,6,24,4,6,16,300
beignets,400,6,50,20,2,24,200
bibimbap,750,25,100,20,8,17,1333
bread_pudding,500,12,70,20,4,40,400
breakfast_burrito,600,30,60,23,7,7,900
bruschetta,200,6,30,8,2,4,300
caesar_salad,450,15,23,30,5,8,750
cannoli,400,8,50,20,2,30,100
caprese_salad,333,13,17,25,4,8,333
carrot_cake,700,8,90,36,4,60,600
ceviche,333,33,17,8,4,5,667
cheese_plate,750,33,9,58,0,2,1000
cheesecake,700,12,60,44,2,50,500
chicken_curry,450,30,23,23,5,8,750
chicken_quesadilla,583,33,42,25,4,4,1000
chicken_wings,600,40,20,40,0,3,800
chocolate_cake,800,10,100,40,4,70,600
chocolate_mousse,600,10,50,40,4,40,200
churros,400,6,50,20,2,24,200
clam_chowder,375,15,30,18,4,8,1200
club_sandwich,600,30,53,27,5,8,900
crab_cakes,500,30,20,30,3,4,800
creme_brulee,600,10,50,40,0,40,200
croque_madame,675,30,45,38,4,8,1200
Cupcakes,400,6,50,20,2,30,300
deviled_eggs,200,12,2,16,0,2,240
donuts,400,6,50,20,2,24,300
dumplings,500,16,60,20,4,4,600
edamame,240,22,20,10,10,4,20
eggs_benedict,600,30,30,38,4,4,900
escargots,400,30,10,24,3,3,600
falafel,300,10,30,16,6,4,400
filet_mignon,625,50,0,42,0,0,167
Fish and Chips,875,35,70,44,6,5,1050
foie_gras,400,10,4,40,0,2,200
french_fries,600,8,70,30,6,0,400
french_onion_soup,375,15,30,18,4,8,1200
french_toast,500,16,60,20,4,20,600
fried_calamari,600,30,40,30,3,3,800
fried_rice,450,12,75,15,4,5,600
frozen_yogurt,300,8,50,6,0,40,100
garlic_bread,300,8,40,12,2,4,400
gnocchi,417,10,67,8,4,4,500
greek_salad,375,12,23,27,6,8,600
Grilled Cheese,667,25,50,33,4,8,1000
grilled_salmon,500,58,0,25,0,0,167
guacamole,200,4,10,16,6,2,100
gyoza,400,16,40,16,4,4,600
hamburger,625,33,50,30,4,8,750
Hot and Sour Soup,225,12,23,8,4,5,900
hot_dog,500,20,30,30,3,6,1000
huevos_rancheros,450,23,30,23,6,5,600
hummus,200,8,16,12,6,2,200
ice_cream,400,8,50,20,0,40,100
lasagna,600,30,60,30,6,10,900
lobster_bisque,375,15,23,23,4,8,750
Lobster Roll,600,30,45,30,4,8,900
Macaroni and Cheese,600,18,75,27,4,10,900
macarons,400,6,50,20,2,40,100
miso_soup,150,9,15,5,4,4,1200
mussels,333,42,8,13,0,2,667
nachos,750,15,75,38,6,8,900
omelette,417,25,4,30,0,2,500
onion_rings,600,8,70,30,4,10,400
oysters,200,20,10,6,0,2,400
pad_thai,600,23,90,18,6,15,900
paella,525,30,60,15,5,8,750
pancakes,500,12,70,16,4,20,600
panna_cotta,600,10,50,40,0,40,100
peking_duck,667,50,17,42,0,8,833
pho,467,27,67,10,5,7,1067
pizza,750,30,90,30,6,8,1200
pork_chop,583,50,0,36,0,0,667
poutine,750,15,75,38,5,4,900
prime_rib,900,60,0,68,0,0,750
pulled_pork_sandwich,600,30,60,23,5,15,900
ramen,533,20,80,13,6,7,1067
ravioli,450,18,60,15,5,6,750
red_velvet_cake,700,10,90,36,4,60,600
risotto,450,12,75,12,4,5,600
samosa,300,6,40,12,4,4,400
sashimi,300,50,0,10,0,0,200
scallops,240,40,4,6,0,0,400
seaweed_salad,100,4,16,3,6,4,600
Shrimp and Grits,450,30,45,15,4,5,750
spaghetti_bolognese,525,23,60,18,5,8,600
spaghetti_carbonara,600,23,68,27,4,6,750
spring_rolls,200,6,30,8,2,4,300
steak,625,58,0,42,0,0,167
strawberry_shortcake,600,8,80,24,4,50,400
sushi,400,16,60,4,3,10,600
tacos,500,20,40,24,6,4,600
takoyaki,400,16,50,16,3,10,600
tiramisu,600,12,60,30,3,40,200
tuna_tartare,300,40,4,10,0,3,400
waffles,600,12,80,24,4,20,600
